[INFO] 2025-03-12 18:01:51,212 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 18:17:09,649 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 18:48:59,021 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 18:58:01,906 autoreload - C:\Users\kci01\clfactory\crawlers\Job_Post_Crawler.py changed, reloading.
[INFO] 2025-03-12 18:58:02,785 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 18:58:54,948 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 19:01:12,547 autoreload - Watching for file changes with StatReloader
[WARNING] 2025-03-12 19:04:08,682 log - Not Found: /api/create_resume/
[WARNING] 2025-03-12 19:04:08,683 basehttp - "POST /api/create_resume/ HTTP/1.1" 404 2499
[WARNING] 2025-03-12 19:06:31,945 log - Not Found: /api/create_resume/
[WARNING] 2025-03-12 19:06:31,946 basehttp - "POST /api/create_resume/ HTTP/1.1" 404 2499
[INFO] 2025-03-12 19:07:55,298 autoreload - C:\Users\kci01\clfactory\api\urls.py changed, reloading.
[INFO] 2025-03-12 19:07:55,887 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 19:08:03,691 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 19:08:23,228 views - ¹ŞÀº job_url_1: https://www.jobkorea.co.kr/Recruit/GI_Read/46478037?Oem_Code=C1&logpath=1&stext=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&listno=1
[INFO] 2025-03-12 19:08:23,228 views - ¹ŞÀº target_company_url: https://www.example.com
[INFO] 2025-03-12 19:08:23,228 views - ¹ŞÀº user_story: ?? ???? ???? ???? ????.
[INFO] 2025-03-12 19:08:23,539 views - Å©·Ñ¸µ ¼º°ø: Ã¤¿ë Á¤º¸¸¦ Á¤»óÀûÀ¸·Î °¡Á®¿È
[INFO] 2025-03-12 19:08:40,520 views - GPT ÀÚ±â¼Ò°³¼­ »ı¼º ¼º°ø
[ERROR] 2025-03-12 19:08:40,525 views - µ¥ÀÌÅÍº£ÀÌ½º ÀúÀå ½ÇÆĞ: table api_resume has no column named target_company_url
[ERROR] 2025-03-12 19:08:40,526 log - Internal Server Error: /api/create_resume/
[ERROR] 2025-03-12 19:08:40,526 basehttp - "POST /api/create_resume/ HTTP/1.1" 500 108
[INFO] 2025-03-12 19:09:01,840 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 19:14:36,974 autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-12 19:14:47,405 views - ¹ŞÀº job_url_1: https://www.jobkorea.co.kr/Recruit/GI_Read/46478037?Oem_Code=C1&logpath=1&stext=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&listno=1
[INFO] 2025-03-12 19:14:47,405 views - ¹ŞÀº target_company_url: https://www.example.com
[INFO] 2025-03-12 19:14:47,406 views - ¹ŞÀº user_story: ?? ???? ???? ???? ????.
[INFO] 2025-03-12 19:14:47,600 views - Å©·Ñ¸µ ¼º°ø: Ã¤¿ë Á¤º¸¸¦ Á¤»óÀûÀ¸·Î °¡Á®¿È
[INFO] 2025-03-12 19:15:09,786 views - GPT ÀÚ±â¼Ò°³¼­ »ı¼º ¼º°ø
[INFO] 2025-03-12 19:15:09,803 views - DB ÀúÀå ¼º°ø: Resume ID 9
